Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Days in Shelter,is_adopted,Has Name,age_at_intake,intake_month,intake_dayofweek
Cat,Male,Yes,Domestic Shorthair,Cream Ginger Tabby,Missing,44.0,1,1,28.0,3,0
Cat,Male,Yes,Domestic Shorthair,Blue,Missing,70.0,1,1,42.0,5,2
Cat,Female,Yes,Domestic Medium Hair,Black,White,55.0,1,0,48.0,5,2
Dog,Female,No,Bull Terrier,Brindle,White,3.0,0,0,1461.0,9,0
Cat,Unknown,Unknown,Domestic Long Hair,Black,Missing,3.0,0,0,731.0,8,5
Dog,Female,Unknown,BLACK MOUTH CUR,Brown,Black,1.0,0,1,360.0,9,3
Cat,Female,Yes,Domestic Shorthair,Blue,Missing,7.0,1,0,56.0,6,1
Cat,Male,Yes,Domestic Shorthair,Cream,Missing,34.0,1,0,55.0,6,1
Kitten,Female,yes,Domestic Shorthair,Black,Missing,9.0,1,1,63.0,9,2
Dog,Male,Yes,American Pit Bull Terrier,Black,Missing,139.0,0,1,306.0,2,2
Mammal,Unknown,Unknown,Raccoon,Grey,Missing,3.0,0,0,122.0,7,3
Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,Silver Tortoiseshell,25.0,1,1,105.0,7,0
Dog,Male,Unknown,Collie Rough,Brown,White,54.0,1,0,10.0,5,2
Cat,Female,Unknown,Domestic Shorthair,Orange Tabby,Missing,0.0,0,0,731.0,7,0
Dog,Male,yes,Labrador Retriever,Black Brown,White,9.0,1,1,56.0,5,6
Cat,Male,No,Domestic Shorthair,Orange Tabby,Missing,4.0,1,1,77.0,7,0
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,Missing,68.0,1,1,365.0,6,0
Cat,Female,Yes,Domestic Shorthair,Black,White,18.0,0,1,2922.0,8,6
Dog,Male,Yes,American Staffordshire Terrier,White,Grey,68.0,1,1,731.0,3,1
Cat,Female,yes,Domestic Medium Hair,Brown Tabby,Missing,6.0,1,1,731.0,7,3
Dog,Male,yes,Jack Russell Terrier,White,Brown,5.0,1,0,731.0,8,3
