Type,Sex,Spayed/Neutered,Primary Breed,Primary Color,Secondary Color,Days in Shelter,is_adopted,Has Name,age_at_intake,intake_month,intake_dayofweek
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,White,0.0,0,0,731.0,5,3
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,Missing,11.0,1,1,120.0,6,0
Cat,Female,yes,Domestic Shorthair,Orange Tabby,White,14.0,1,0,98.0,7,1
Dog,Male,No,Cocker Spaniel,Black,White,1.0,0,1,2922.0,6,0
Puppy,Unknown,Unknown,Unknown - DISPATCH ONLY,White,Missing,0.0,0,1,7.0,6,5
Cat,Female,No,Domestic Shorthair,Torbie,Missing,9.0,0,0,77.0,7,3
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,26.0,1,1,365.0,5,5
Cat,Female,Yes,Domestic Shorthair,White,Brown Tabby,54.0,1,1,42.0,5,1
Cat,Female,yes,Domestic Shorthair,White,Missing,23.0,1,1,365.0,8,6
Cat,Female,Yes,Domestic Shorthair,Calico,White,14.0,1,0,55.0,6,1
Cat,Female,No,Domestic Shorthair,Brown Tabby,Black,0.0,0,0,28.0,5,5
Cat,Female,No,Domestic Shorthair,White,Blue,8.0,0,0,61.0,5,4
Mammal,Unknown,Unknown,Fox - Grey,Grey,Grey,0.0,0,0,122.0,5,2
Kitten,Male,No,Domestic Shorthair,Black,Missing,1.0,0,0,7.0,9,6
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,42.0,6,4
Cat,Male,No,Domestic Shorthair,Blue,Missing,2.0,0,0,731.0,8,0
Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,Missing,7.0,1,1,748.0,6,2
Dog,Female,Yes,Golden Retriever,Red,Missing,125.0,1,1,731.0,3,1
Cat,Male,Yes,Domestic Shorthair,Black,Missing,22.0,1,1,732.0,4,3
Dog,Female,No,Boxer,Tan,Missing,11.0,0,1,4037.0,7,0
Dog,Male,Yes,Australian Cattle Dog,Black,White,81.0,1,1,42.0,5,3
Cat,Male,yes,Domestic Shorthair,Blue Ticked,Missing,6.0,1,0,91.0,7,3
Cat,Female,yes,Domestic Shorthair,Torbie,Missing,31.0,1,0,34.0,4,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,98.0,1,1,41.0,6,1
Dog,Female,Yes,Labrador Retriever,Yellow,Missing,40.0,1,1,277.0,7,1
Dog,Female,No,American Pit Bull Terrier,Black Brindle,Brown Brindle,29.0,0,1,55.0,6,2
Cat,Male,yes,Domestic Medium Hair,Black,White,11.0,1,1,92.0,6,0
Cat,Female,Yes,Domestic Shorthair,Black,Missing,70.0,1,1,731.0,5,5
Cat,Female,Yes,Domestic Long Hair,Torbie,Missing,7.0,1,1,731.0,9,2
Cat,Female,Yes,Domestic Medium Hair,Cream Ginger Tabby,Missing,49.0,1,1,209.0,4,1
Cat,Female,Yes,Domestic Shorthair,Grey Tabby,White,90.0,1,1,89.0,6,0
Dog,Male,Yes,Australian Cattle Dog,Blue Merle,Missing,28.0,1,1,547.0,8,2
Dog,Male,yes,Chihuahua - Smooth,Tan,White,13.0,1,1,1096.0,8,3
Dog,Female,Yes,Doberman Pinscher,Black,Tan,117.0,1,1,731.0,2,1
Cat,Female,No,Domestic Shorthair,Black,Grey,0.0,0,0,30.0,5,5
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,8.0,1,1,2192.0,7,4
Cat,Male,yes,Domestic Shorthair,Brown Tabby,Missing,34.0,1,1,56.0,6,5
Dog,Male,Yes,Boxer,Black,White,111.0,1,1,2556.0,1,3
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,36.0,1,1,119.0,6,4
Dog,Female,No,American Pit Bull Terrier,Tan,White,3.0,0,1,365.0,7,1
Kitten,Female,Yes,Domestic Medium Hair,Brown Tabby,Missing,29.0,1,0,61.0,8,2
Cat,Female,yes,Domestic Shorthair,Tortoiseshell,Missing,7.0,1,1,365.0,4,1
Cat,Male,No,Domestic Shorthair,Black,Black,3.0,0,0,35.0,5,5
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,7.0,1,0,153.0,8,4
Kitten,Male,No,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,1.0,8,0
Dog,Unknown,No,Boxer,Brown,Missing,28.0,0,0,-2.0,5,3
Mammal,Unknown,Unknown,Bat - Unspecified,Red,Missing,22.0,0,0,122.0,6,4
Cat,Female,Yes,Domestic Shorthair,Orange Tabby,Missing,22.0,1,0,364.0,7,2
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Missing,0.0,0,0,731.0,6,1
Dog,Female,Yes,Chihuahua - Smooth,Tan,Missing,8.0,1,0,731.0,9,0
Dog,Male,Yes,Beagle,Brown,Red,1.0,1,1,1037.0,6,6
Dog,Male,Yes,Hound,Black,White,209.0,1,1,1461.0,1,2
Dog,Unknown,Unknown,Siberian Husky,White,Grey,3.0,0,0,122.0,7,3
Dog,Female,Yes,Labrador Retriever,White,Fawn Brindle,22.0,1,1,212.0,8,0
Cat,Female,Yes,Domestic Shorthair,Cream Ginger Tabby,Missing,7.0,1,0,63.0,6,1
Cat,Female,Yes,Domestic Shorthair,Black,White,29.0,1,1,35.0,5,0
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,21.0,5,1
Dog,Male,Yes,Labrador Retriever,Brown,White,297.0,0,1,2093.0,11,5
Dog,Male,Yes,Belgian Shepherd Dog - Malinois,Sable,Missing,19.0,1,1,731.0,4,1
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,14.0,1,1,61.0,5,1
Cat,Female,No,Domestic Shorthair,Orange Tabby,White,32.0,0,0,1095.0,7,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,26.0,1,1,35.0,6,4
Kitten,Male,Yes,Domestic Shorthair,White,Black,62.0,1,0,2.0,7,4
Dog,Female,Yes,Border Collie,Black,White,35.0,1,1,731.0,4,3
Cat,Unknown,Unknown,Domestic Shorthair,Grey Tabby,Grey Tabby,9.0,0,0,731.0,5,4
Dog,Male,yes,Terrier,White,Missing,9.0,1,0,2010.0,9,0
Dog,Male,Yes,American Pit Bull Terrier,Red,Missing,243.0,0,1,731.0,1,3
Dog,Female,No,Schnauzer - Miniature,Brown,Missing,21.0,0,1,122.0,7,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,4.0,1,1,3653.0,8,2
Dog,Male,Yes,Chihuahua - Smooth,Buff,White,1.0,1,1,1111.0,6,3
Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,White,20.0,1,1,49.0,8,5
Dog,Female,No,Pug,Fawn,Missing,3.0,0,0,731.0,8,6
Dog,Unknown,Yes,Australian Cattle Dog,White,Black,4.0,0,1,2200.0,5,3
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,99.0,1,1,59.0,4,1
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,84.0,1,1,365.0,6,2
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,1.0,0,1,1460.0,7,1
Puppy,Male,Yes,German Shepherd,Black,Missing,33.0,1,1,69.0,8,4
Kitten,Male,No,Domestic Shorthair,Grey Tabby,Missing,0.0,0,0,3.0,6,4
Cat,Female,Yes,Domestic Medium Hair,Blue Ticked,Missing,11.0,1,0,61.0,5,1
Dog,Female,Yes,Yorkshire Terrier,Tan,Black,4.0,1,1,5479.0,5,4
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,3.0,0,0,14.0,5,5
Dog,Male,No,Labrador Retriever,Tri Color,Missing,0.0,0,1,2192.0,6,3
Cat,Female,Yes,Domestic Shorthair,Grey,White,66.0,1,0,35.0,6,4
Kitten,Female,Yes,Domestic Shorthair,Brown Tabby,White,33.0,1,1,35.0,8,0
Mammal,Unknown,Unknown,Raccoon,Grey,Black,0.0,0,0,122.0,8,6
Puppy,Male,yes,Pug,Tan,Black,4.0,1,1,56.0,8,4
Kitten,Male,No,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,1.0,8,4
Cat,Unknown,No,Domestic Shorthair,Brown,White,1.0,0,0,4.0,5,0
Kitten,Female,No,Domestic Shorthair,White,Missing,0.0,0,0,7.0,8,2
Kitten,Female,No,Domestic Shorthair,Cream,Missing,0.0,0,0,28.0,9,5
Dog,Male,Yes,American Staffordshire Terrier,Blue,White,67.0,1,1,1868.0,3,2
Dog,Female,Yes,American Pit Bull Terrier,Brindle,Black,53.0,1,1,122.0,7,4
Dog,Male,Yes,American Pit Bull Terrier,White,Brown,51.0,1,1,731.0,5,1
Puppy,Female,No,Pomeranian,Blue Merle,Missing,2.0,0,1,61.0,8,5
Kitten,Female,No,Domestic Shorthair,White,Missing,6.0,0,1,34.0,9,0
Mammal,Unknown,Unknown,Bat - Unspecified,Fawn,Missing,0.0,0,0,731.0,6,5
Cat,Female,Unknown,Domestic Long Hair,Tortoiseshell,Missing,3.0,0,0,2557.0,7,4
Puppy,Unknown,Unknown,American Pit Bull Terrier,Tan,White,5.0,0,1,28.0,8,2
Puppy,Female,No,Labrador Retriever,Cinnamon,Missing,3.0,0,0,28.0,8,4
Dog,Male,Unknown,Labrador Retriever,Black,Black,10.0,0,1,2557.0,6,1
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Brown,1.0,0,0,122.0,9,2
Dog,Male,Yes,Anatolian Shepherd,Tan,Missing,38.0,1,1,365.0,8,2
Dog,Male,Yes,Australian Shepherd,Brown,White,29.0,1,1,364.0,7,3
Cat,Male,Yes,Domestic Medium Hair,Black,White,4.0,1,0,2192.0,7,5
Cat,Male,Yes,Domestic Medium Hair,Brown Tabby,White,40.0,1,1,56.0,6,4
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,41.0,1,1,731.0,8,5
Cat,Male,No,Domestic Shorthair,Brown Tabby,White,28.0,1,1,1096.0,8,0
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,26.0,1,0,46.0,4,4
Kitten,Unknown,Unknown,Domestic Medium Hair,Cream,Missing,0.0,0,0,21.0,7,5
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,34.0,1,1,42.0,5,1
Kitten,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,60.0,1,1,25.0,7,2
Cat,Male,Yes,Domestic Shorthair,White,Brown Tabby,71.0,1,1,22.0,3,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,47.0,1,1,121.0,4,0
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,0.0,0,1,122.0,9,1
Dog,Female,Yes,American Pit Bull Terrier,Black,White,15.0,1,1,61.0,6,1
Cat,Unknown,No,Domestic Shorthair,Black,White,8.0,0,0,2192.0,5,3
Dog,Male,Yes,Schnauzer - Miniature,Black,White,66.0,1,1,92.0,6,6
Cat,Male,yes,Domestic Shorthair,Orange Tabby,Missing,5.0,1,1,74.0,5,4
Dog,Female,No,American Pit Bull Terrier,Blue,White,50.0,0,1,181.0,7,3
Dog,Male,Yes,American Pit Bull Terrier,Brown Brindle,Missing,11.0,0,1,1096.0,9,1
Mammal,Unknown,Unknown,Squirrel - Western Grey,Brown,Missing,0.0,0,0,365.0,5,4
Cat,Male,Yes,Domestic Shorthair,White,Black,153.0,1,1,2331.0,2,3
Cat,Female,Yes,Domestic Shorthair,Black,Missing,50.0,1,1,61.0,5,4
Cat,Female,No,Domestic Shorthair,Blue,Tabby,6.0,0,0,272.0,6,0
Dog,Male,Yes,Labrador Retriever,White,Missing,30.0,1,1,31.0,4,5
Dog,Male,Yes,Schnauzer - Giant,Grey,Black,5.0,1,1,151.0,5,2
Kitten,Male,Unknown,Domestic Shorthair,Black,Missing,0.0,0,0,14.0,7,4
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Orange Tabby,43.0,1,1,20.0,5,3
Dog,Male,Yes,Australian Cattle Dog,Brindle,White,87.0,1,1,1462.0,5,5
Cat,Female,yes,Domestic Shorthair,Calico,Missing,71.0,1,0,28.0,5,6
Puppy,Female,No,Australian Cattle Dog,White,Black,1.0,0,0,30.0,7,2
Dog,Female,No,Shih Tzu,Tan,Missing,0.0,0,1,731.0,8,3
Dog,Male,Yes,Pointer,Tan,White,233.0,1,1,1096.0,11,0
Kitten,Female,yes,Domestic Shorthair,Brown Tabby,Missing,7.0,1,1,62.0,9,0
Kitten,Unknown,Unknown,Domestic Shorthair,Tabby,Brown,4.0,0,0,122.0,5,4
Dog,Male,Yes,Yorkshire Terrier,Black,Tan,115.0,1,1,4383.0,5,4
Cat,Male,No,Domestic Shorthair,Cream Ginger Tabby,Missing,0.0,0,0,11.0,5,1
Dog,Unknown,Unknown,Chihuahua - Smooth,Brown,White,6.0,0,0,122.0,5,5
Cat,Female,Yes,Domestic Shorthair,Grey Tabby,Missing,20.0,1,1,75.0,6,2
Kitten,Unknown,Unknown,Domestic Shorthair,Grey Tabby,White,4.0,0,0,56.0,7,4
Dog,Female,Yes,Coonhound,Red,Tan,27.0,1,1,119.0,5,0
Cat,Female,Yes,Domestic Shorthair,White,Brown Tabby,6.0,1,0,56.0,5,3
Dog,Female,Yes,Boxer,Red,White,80.0,1,1,122.0,7,3
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,25.0,1,1,1096.0,5,1
Mammal,Unknown,Unknown,Fox - Grey,Grey,Black,4.0,0,0,122.0,6,3
Cat,Female,Yes,Domestic Shorthair,BLUE TABBY,Missing,62.0,1,1,371.0,4,2
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,White,15.0,0,1,1096.0,6,3
Cat,Unknown,Unknown,Domestic Medium Hair,Orange Tabby,Missing,3.0,0,0,549.0,9,3
Cat,Female,yes,Domestic Shorthair,Blue,White,6.0,1,0,91.0,7,3
Cat,Male,Yes,Domestic Shorthair,Black,Missing,71.0,1,1,91.0,7,3
Puppy,Male,yes,Labrador Retriever,White,Blonde,8.0,1,0,62.0,9,0
Bird (wildlife),Unknown,Unknown,Pigeon,Blue,Missing,1.0,0,0,92.0,9,6
Dog,Male,Yes,American Pit Bull Terrier,Blue,White,164.0,1,1,268.0,4,4
Cat,Female,Yes,Domestic Shorthair,Black,Missing,13.0,1,1,153.0,8,4
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,88.0,1,0,0.0,4,3
Cat,Female,yes,Domestic Medium Hair,Brown Tabby,Missing,33.0,1,1,61.0,6,2
Dog,Female,yes,Labrador Retriever,Black,Brown Brindle,41.0,1,1,242.0,8,2
Dog,Female,No,American Pit Bull Terrier,Blue,White,27.0,0,1,365.0,6,3
Dog,Male,Yes,Chihuahua - Smooth,Black,White,9.0,1,1,1097.0,5,5
Cat,Female,No,Domestic Shorthair,Brown Tabby,Orange,1.0,0,0,1461.0,7,1
Dog,Female,Yes,Chihuahua - Smooth,Tan,Missing,6.0,1,1,2556.0,6,2
Dog,Male,Yes,Labrador Retriever,Black,Missing,662.0,1,1,730.0,11,2
Kitten,Unknown,Unknown,Domestic Shorthair,Ginger Tabby,Missing,0.0,0,0,7.0,9,6
Puppy,Female,Yes,Labrador Retriever,Brown,Black,12.0,1,1,63.0,8,4
Dog,Male,Yes,German Shepherd,Tan,Black,194.0,1,1,3940.0,1,3
Cat,Male,yes,Domestic Shorthair,Brown Tabby,White,41.0,1,1,731.0,6,1
Dog,Female,Yes,Great Pyrenees,White,Missing,55.0,1,1,1826.0,6,6
Dog,Male,Yes,German Shepherd,Tan,Black,91.0,1,1,731.0,3,4
Kitten,Female,No,Domestic Shorthair,Black,Missing,18.0,0,0,41.0,8,0
Dog,Male,No,American Bulldog,Blue Brindle,White,0.0,0,0,731.0,8,2
Dog,Female,Yes,Anatolian Shepherd,White,Tan,28.0,1,1,243.0,4,6
Dog,Male,Yes,German Shepherd,Brown,Missing,78.0,1,1,243.0,6,0
Dog,Male,yes,WELSH CORGI CAR,Tan,White,11.0,1,1,365.0,5,0
Cat,Female,yes,Domestic Shorthair,Torbie,Missing,8.0,1,1,61.0,5,0
Cat,Unknown,Unknown,Domestic Shorthair,Orange Tabby,White,4.0,0,1,731.0,7,0
Dog,Male,yes,Australian Cattle Dog,White,Black,21.0,1,1,731.0,9,3
Rabbit,Female,Yes,French Lop,Brown,Missing,41.0,1,0,365.0,7,3
Dog,Male,Yes,Labrador Retriever,Brown,White,154.0,1,1,90.0,3,2
Cat,Unknown,No,Domestic Shorthair,Brown Tabby,White,9.0,0,0,304.0,4,2
Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,4.0,0,0,56.0,6,1
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,8.0,1,0,91.0,7,1
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,59.0,1,1,15.0,4,2
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,48.0,1,1,59.0,3,0
Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,Missing,110.0,1,1,731.0,1,3
Dog,Male,Yes,German Shepherd,Black,Tan,28.0,1,1,120.0,6,6
Puppy,Male,Yes,Chihuahua - Smooth,Blonde,Missing,19.0,1,1,42.0,8,2
Cat,Male,Yes,Domestic Medium Hair,Black,White,3.0,0,1,4016.0,6,2
Dog,Male,Yes,Coonhound - Black and Tan,Black,Tan,282.0,1,1,2922.0,8,6
Dog,Female,yes,American Pit Bull Terrier,Chocolate,Missing,27.0,1,1,1096.0,6,5
Kitten,Male,Unknown,Domestic Shorthair,Black,Black,0.0,0,0,7.0,7,3
Cat,Male,Yes,Domestic Medium Hair,Black,Black,5.0,1,0,120.0,6,4
Cat,Unknown,Unknown,Domestic Shorthair,Flame Point,Missing,13.0,0,0,181.0,6,4
Kitten,Female,Yes,Domestic Shorthair,Blue,White,45.0,1,0,35.0,8,2
Mammal,Unknown,Unknown,Bat - Unspecified,Brown,Red,12.0,0,0,122.0,6,0
Cat,Female,Yes,Domestic Shorthair,Tortoiseshell,Missing,119.0,1,1,22.0,3,2
Cat,Unknown,Unknown,Domestic Shorthair,Black,White,7.0,0,0,731.0,8,2
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,45.0,1,1,59.0,6,1
Cat,Male,yes,Domestic Shorthair,Brown Tabby,Missing,84.0,1,1,38.0,6,3
Cat,Male,Yes,Domestic Shorthair,White,Cream Ginger Tabby,8.0,1,0,51.0,6,0
Cat,Female,yes,Domestic Shorthair,Brown Tabby,Missing,31.0,1,1,92.0,6,0
Dog,Female,Unknown,Chihuahua - Smooth,Tan,Missing,3.0,0,0,731.0,6,2
Kitten,Female,No,Domestic Shorthair,Brown Tabby,Missing,1.0,0,0,35.0,9,4
Cat,Male,Yes,Domestic Shorthair,Black,White,24.0,1,0,42.0,5,0
Cat,Female,yes,Domestic Shorthair,Black,Missing,86.0,1,1,365.0,4,2
Dog,Unknown,Unknown,Poodle - Miniature,White,Missing,1.0,0,1,122.0,9,3
Dog,Male,Yes,German Shepherd,Brown,Missing,10.0,1,1,151.0,5,4
Dog,Male,Yes,Schnauzer - Miniature,Black,Tan Points,7.0,0,1,1096.0,9,4
Cat,Male,Yes,Domestic Shorthair,Cream Ginger Tabby,White,20.0,0,1,4626.0,8,4
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,34.0,0,0,28.0,6,2
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,13.0,1,1,1096.0,9,2
Cat,Male,Yes,Domestic Shorthair,Black,Missing,12.0,1,0,76.0,7,2
Cat,Female,Unknown,Domestic Shorthair,Brown Tabby,White,17.0,0,1,181.0,5,6
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,148.0,0,1,732.0,3,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,38.0,1,1,22.0,4,2
Cat,Male,Yes,Domestic Shorthair,BLUE TABBY,White,0.0,0,1,444.0,7,3
Kitten,Male,Yes,Domestic Shorthair,Brown,Black,58.0,1,1,21.0,7,1
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,28.0,1,1,75.0,6,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,9.0,1,0,56.0,5,4
Kitten,Female,No,Domestic Shorthair,Brown Tabby,White,0.0,0,0,21.0,7,5
Dog,Male,Yes,Chihuahua - Smooth,White,Missing,0.0,0,0,4382.0,9,6
Cat,Male,yes,Domestic Shorthair,White,Brown Tabby,30.0,1,0,122.0,7,0
Dog,Male,Unknown,Great Pyrenees,White,Missing,53.0,0,0,122.0,7,3
Dog,Female,No,Labrador Retriever,Black,Tan,5.0,0,1,92.0,6,2
Cat,Unknown,Unknown,Domestic Shorthair,Tortoiseshell,Missing,4.0,0,1,731.0,7,3
Cat,Male,No,Domestic Shorthair,Brown Tabby,Missing,5.0,0,0,31.0,6,6
Dog,Female,No,American Staffordshire Terrier,White,Black,43.0,0,1,731.0,8,0
Cat,Female,Yes,Domestic Shorthair,Grey,Missing,12.0,1,0,76.0,7,2
Mammal,Unknown,Unknown,Bat - Little Brown Myotis,Brown,Missing,66.0,0,0,122.0,7,3
Cat,Female,No,Domestic Shorthair,Brown Tabby,Brown Tabby,0.0,0,0,35.0,5,5
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,29.0,1,1,35.0,5,0
Cat,Unknown,Unknown,Domestic Long Hair,Black,Missing,7.0,0,0,365.0,7,3
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,White,0.0,0,1,882.0,6,1
Mammal,Unknown,Unknown,Bat - Unspecified,Red,Missing,0.0,0,0,122.0,6,4
Cat,Female,yes,Domestic Shorthair,Tortoiseshell,White,20.0,1,1,1096.0,6,1
Cat,Unknown,Unknown,Domestic Shorthair,Black,Missing,4.0,0,0,365.0,6,2
Dog,Female,Yes,American Pit Bull Terrier,White,Brown,58.0,1,1,370.0,3,3
Dog,Female,Yes,Labrador Retriever,Black,Brown,5.0,1,1,61.0,5,2
Dog,Male,No,German Shepherd,Tan,Missing,7.0,1,1,75.0,6,1
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,47.0,1,1,28.0,5,2
Dog,Male,Yes,German Shepherd,Black,Tan,5.0,1,1,82.0,6,0
Dog,Male,Yes,American Pit Bull Terrier,Blue,White,143.0,1,1,2449.0,1,0
Bird,Unknown,Unknown,Budgerigar/Budgie,White,Missing,12.0,0,0,365.0,9,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Brown,15.0,1,1,426.0,5,0
Kitten,Male,No,Domestic Shorthair,Black,White,0.0,0,0,7.0,9,1
Dog,Female,Yes,Australian Shepherd,White,Missing,58.0,1,1,40.0,4,6
Dog,Male,Yes,Great Pyrenees,Tan,White,127.0,1,1,243.0,3,2
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,54.0,1,1,28.0,5,0
Cat,Female,Yes,Domestic Shorthair,Black,White,31.0,1,1,181.0,7,3
Cat,Male,No,Domestic Shorthair,White,Black,6.0,0,0,365.0,5,0
Kitten,Female,Yes,Domestic Shorthair,Black,Missing,35.0,1,0,42.0,8,6
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,Missing,98.0,0,1,365.0,3,1
Kitten,Unknown,Unknown,Domestic Shorthair,Black,Missing,8.0,0,0,92.0,6,5
Cat,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,5.0,0,0,181.0,5,4
Kitten,Male,Yes,Domestic Shorthair,Flame Point,Missing,42.0,1,0,35.0,7,1
Kitten,Female,Yes,Domestic Shorthair,Tortoiseshell,Missing,30.0,1,0,41.0,7,3
Kitten,Male,Yes,Domestic Shorthair,Black,White,34.0,1,0,42.0,7,2
Puppy,Female,No,Labrador Retriever,Black,White,0.0,0,0,75.0,8,2
Dog,Male,Yes,German Shepherd,Brown,White,22.0,1,1,2600.0,4,2
Dog,Male,Yes,Labrador Retriever,Black,Missing,16.0,0,1,364.0,8,4
Cat,Unknown,Unknown,Domestic Shorthair,Black,Missing,0.0,0,0,1.0,5,3
Cat,Male,yes,Domestic Shorthair,Blue,Tabby,9.0,1,1,60.0,6,0
Dog,Male,Yes,American Pit Bull Terrier,Fawn,Blue,39.0,1,1,1831.0,8,4
Cat,Female,No,Domestic Shorthair,Brown Tabby,Brown,35.0,0,1,61.0,6,4
Dog,Female,Yes,Dalmatian,White,Black,6.0,0,0,56.0,5,0
Dog,Male,No,Australian Cattle Dog,White,Brown Brindle,8.0,0,1,92.0,6,0
Dog,Unknown,Unknown,Poodle - Miniature,Black,Missing,4.0,0,0,243.0,6,6
Dog,Male,Yes,Plott Hound,Brown Brindle,White,74.0,1,1,1096.0,3,0
Dog,Female,Unknown,Unknown - DISPATCH ONLY,Black,Missing,0.0,0,0,304.0,5,2
Cat,Female,Yes,Domestic Shorthair,Black,White,38.0,1,0,42.0,6,1
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,28.0,1,1,547.0,5,1
Cat,Male,Yes,Domestic Shorthair,Cream Ginger Tabby,Missing,36.0,1,0,34.0,4,0
Kitten,Female,No,Domestic Shorthair,Black,White,1.0,0,0,21.0,9,3
Kitten,Unknown,Unknown,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,122.0,9,2
Puppy,Female,Yes,Labrador Retriever,White,Missing,14.0,1,1,61.0,8,2
Kitten,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,57.0,1,1,42.0,7,3
Dog,Female,Yes,American Pit Bull Terrier,Fawn,White,8.0,1,1,61.0,5,2
Dog,Male,yes,Chihuahua - Long-hair,Black,Tan,8.0,1,0,365.0,9,6
Dog,Unknown,Yes,Labrador Retriever,Black,White,0.0,0,1,242.0,7,5
Kitten,Male,No,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,14.0,8,0
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,76.0,0,1,0.0,3,6
Cat,Male,Yes,Domestic Shorthair,Brown Tabby,Missing,2.0,0,1,1826.0,6,5
Dog,Male,Yes,Siberian Husky,White,Missing,0.0,0,1,547.0,6,6
Dog,Male,Yes,Maltese Terrier,White,Missing,9.0,1,1,4375.0,5,1
Cat,Female,No,Domestic Shorthair,Brown Tabby,Missing,37.0,0,0,1461.0,6,3
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,Missing,19.0,1,1,42.0,5,1
Dog,Male,Yes,Siberian Husky,White,Blue,0.0,0,1,4018.0,5,0
Cat,Female,Yes,Domestic Shorthair,Black,White,35.0,1,0,55.0,6,0
Cat,Male,Yes,Domestic Shorthair,Orange Tabby,White,39.0,1,1,691.0,6,6
Dog,Female,Yes,Doberman Pinscher,Black,Brown,115.0,1,1,365.0,3,5
Cat,Male,yes,Domestic Shorthair,Brown Tabby,Missing,49.0,1,1,92.0,6,1
Dog,Male,Yes,American Pit Bull Terrier,Tan,White,230.0,1,1,366.0,1,0
Cat,Unknown,Unknown,Domestic Shorthair,Blue,Missing,2.0,0,0,365.0,6,2
Dog,Female,Yes,Chihuahua - Smooth,Cream,White,4.0,1,1,1826.0,6,6
Cat,Female,yes,Domestic Shorthair,Torbie,Missing,42.0,1,1,365.0,7,2
Cat,Female,No,Domestic Shorthair,Black,Missing,3.0,0,1,5841.0,7,2
Cat,Male,yes,Domestic Shorthair,Brown Tabby,White,15.0,1,0,91.0,7,3
Cat,Female,Yes,Domestic Shorthair,Brown Tabby,White,49.0,1,1,731.0,4,2
Cat,Female,Yes,Domestic Shorthair,Calico,Missing,91.0,1,1,45.0,5,3
Cat,Male,Yes,Domestic Shorthair,White,Orange Tabby,51.0,1,1,49.0,6,1
Kitten,Male,No,Domestic Shorthair,Brown Tabby,Missing,0.0,0,0,2.0,5,1
Dog,Female,No,Great Pyrenees,White,Missing,0.0,0,0,21.0,5,1
Dog,Male,Yes,German Shepherd,Black,Brown,72.0,1,1,1096.0,5,5
